product_name,product_description,series,manufacturer,category,tab_category,price,specification,sculptor,cooperation,image1,image2,image3,image4
Yuna KADOKAWA Special Set,"From the anime series ""Kuma Kuma Kuma Bear Punch!"" comes a 1/7 scale figure of Yuna!",Kuma Kuma Kuma Bear Punch!,KADOKAWA Corporation,1/7th Scale,Scale Figure,"¥24,200",Painted plastic 1/7 scale complete product with stand included. Approximately 230mm in height (including stand).,Wonderful Works,TOPS co. ltd.,//images.goodsmile.info/cgm/images/product/20230615/14500/116555/large/26277f09e4f86d58b782504683b409cd.jpg,//images.goodsmile.info/cgm/images/product/20230615/14500/116556/large/42479d1f58125bfaf3ecbbf3f83ea4dd.jpg,//images.goodsmile.info/cgm/images/product/20230615/14500/116557/large/6055858af390d0334c68e3aebb2d5a89.jpg,//images.goodsmile.info/cgm/images/product/20230615/14500/116558/large/c79f2991ec293a5a233dd0b030545b24.jpg
Aris (Maid),"From the popular game ""Blue Archive"" comes a 1/7 scale figure of Aris, a member of the game development department at Millennium Science School, dressed as a maid.",Blue Archive,Good Smile Company,1/7th Scale,Scale Figure,"¥18,900",Painted plastic 1/7 scale complete product with stand included. Approximately 250mm in height.,Manabu Kato,GSC Production Department,//images.goodsmile.info/cgm/images/product/20231019/15107/122641/large/95e8ff58a69656e5a789f12f538e6bfb.jpg,//images.goodsmile.info/cgm/images/product/20231019/15107/122642/large/d63857f9735e0b9b6498081ac7a859ef.jpg,//images.goodsmile.info/cgm/images/product/20231019/15107/122643/large/d855387320dca6ff8cf6cede3563ea31.jpg,//images.goodsmile.info/cgm/images/product/20231019/15107/122644/large/911612f550bf7992d92091805b355808.jpg
Kanade Tachibana: Wedding ver.,"Kanade Tachibana from the original anime series ""Angel Beats!"" by Jun Maeda has been transformed into a 1/7 scale figure wearing a wedding dress!",Angel Beats!,KADOKAWA Corporation,1/7th Scale,Scale Figure,"¥30,250",Painted plastic 1/7 scale complete product with stand included. Approximately 225mm in height (including stand).,"3D Prototype Production: RAMUNE SODA, 3D Prototype Direction: YOSHI, Prototype Cooperation: Kouta, EMONTOYS",EMONTOYS,//images.goodsmile.info/cgm/images/product/20230829/14891/120367/large/d8e7c9979db881129d2709ee306e5580.jpg,//images.goodsmile.info/cgm/images/product/20230829/14891/120368/large/2974a9548bdbd3df912ca48ffa853eef.jpg,//images.goodsmile.info/cgm/images/product/20230829/14891/120369/large/17ab039b822f03dcb6cf7d0cd9064c2b.jpg,//images.goodsmile.info/cgm/images/product/20230829/14891/120370/large/5279d9acbdf47782700591a3fcd52d4a.jpg
Saber Alter: Kimono ver.,"From the anime movie series ""Fate/stay night [Heaven's Feel]"" comes a rerelease of the 1/7 scale Saber Alter: Kimono Ver.!",Fate/stay night: Heaven's Feel,KADOKAWA Corporation,1/7th Scale,Scale Figure,"¥24,000",Painted plastic 1/7 scale complete product with stand included. Approximately 275mm in height (including stand and umbrella).,Nobuta (Claynel),Claynel,//images.goodsmile.info/cgm/images/product/20200318/9361/68593/large/f47b73f88fc5fceec0d96a4966755e9f.jpg,//images.goodsmile.info/cgm/images/product/20200318/9361/68594/large/b57985498a6d31d299268eacfa4f87f5.jpg,//images.goodsmile.info/cgm/images/product/20200318/9361/68595/large/d5691b06ad540ad49caec0b0831e00c1.jpg,//images.goodsmile.info/cgm/images/product/20200318/9361/68596/large/073f7e13515e68681e6f053dd22443ed.jpg
Rice Shower Vampire Makeover!,"Rice Shower from ""Umamusume: Pretty Derby"" joins the game's figure lineup at 1/7 scale, wearing her ""Vampire Makeover!"" outfit!",Umamusume: Pretty Derby,Good Smile Company,1/7th Scale,Scale Figure,"¥25,900",Painted plastic 1/7 scale complete product with stand included. Approximately 230mm in height.,Hidetoshi Nishibu,GSC Production Department,//images.goodsmile.info/cgm/images/product/20230922/15004/121422/large/84e54a25a555b6b8c02a235b69a6a85b.jpg,//images.goodsmile.info/cgm/images/product/20230922/15004/121423/large/15dcb80b331a3dda9d52b0628205fd03.jpg,//images.goodsmile.info/cgm/images/product/20230922/15004/121424/large/eca630e0051295f874766083ba2a7282.jpg,//images.goodsmile.info/cgm/images/product/20230922/15004/121425/large/4b05afe3fdf14861b539fe0dee8cbb75.jpg
Yozakura: Bare Leg Bunny Ver.,"From ""Shinobi Master Senran Kagura: NEW LINK"" comes a new bare leg bunny figure of Yozakura, the heaven-sent striker of Gessen Girls' Academy! This special version features Yumi's original bunny suit minus the net tights, showing off her bare legs instead.",Shinobi Master Senran Kagura: NEW LINK,FREEing,1/4th Scale,Scale Figure,"¥27,500",Painted plastic 1/4 scale complete product with stand included. Approximately 385mm in height.,Norimiki Ujikawa (Dragoncraft),Dragoncraft,//images.goodsmile.info/cgm/images/product/20230420/14297/114591/large/fdf3156ac39f3d45422e9d61040e98d4.jpg,//images.goodsmile.info/cgm/images/product/20230420/14297/114592/large/494faded294adeb2f589d3667c4e5d08.jpg,//images.goodsmile.info/cgm/images/product/20230420/14297/114593/large/fa681ed91088bf333ecd71511cacb06a.jpg,//images.goodsmile.info/cgm/images/product/20230420/14297/114594/large/96e53b29908f53cc934afcfe48184a7c.jpg
Tohka Yatogami: Bunny Ver.,"From the popular work ""Date a Live IV"" comes a bunny figure of Tohka Yatogami! Her outstanding physique has been faithfully captured in figure form. This enormous 1/4 scale bunny figure also features real net tights for a realistic look and feel. Be sure to add her to your collection!",Date A Live,FREEing,1/4th Scale,Scale Figure,"¥38,500",Painted plastic 1/4 scale complete product. Approximately 250mm in height.,FREEing,Hiroshi (SAKURAZENSEN),//images.goodsmile.info/cgm/images/product/20230815/14812/119576/large/d81f3a57a0ae93edf75725d49974b3d6.jpg,//images.goodsmile.info/cgm/images/product/20230815/14812/119577/large/facab8149ee05e36c62ac4554834a947.jpg,//images.goodsmile.info/cgm/images/product/20230815/14812/119578/large/6f30e24e90dfc1ee89dcddcb680abb3c.jpg,//images.goodsmile.info/cgm/images/product/20230815/14812/119579/large/dbd4de70d02dd04da1b52d0624e4ae35.jpg
AK-12,"From ""Girls’ Frontline"", the popular smartphone game now celebrating its 5th anniversary, comes a 1/7 scale figure of the assault rifle T-Doll AK-12!
AK-12's beautiful silver hair, closed eyes and gentle smile have been faithfully captured in figure form.",Girls' Frontline,Phat!,1/7th Scale,Scale Figure,"¥29,800",Painted plastic 1/7 scale complete product with stand included. Approximately 260mm in height.,Rico (Connect Rect),Phat!,//images.goodsmile.info/cgm/images/product/20230821/14824/119706/large/2e63670a7a11f587544a3be62ebeece6.jpg,//images.goodsmile.info/cgm/images/product/20230821/14824/119707/large/2cd12912f2251e0f0050981f2900a7a1.jpg,//images.goodsmile.info/cgm/images/product/20230821/14824/119708/large/c6c37de4294b28b056f388f3f2185bd0.jpg,//images.goodsmile.info/cgm/images/product/20230821/14824/119709/large/18aeec7f4d3f62620175b60c3c027cdf.jpg
Elaina ~My Adventure Diary~ KADOKAWA Special Set,"A new illustration of Elaina, the protagonist of the anime series Wandering Witch:
The Journey of Elaina, has been transformed into a figure!
The design is inspired by Elaina’s own adventure diary, the main focus of the story.",Wandering Witch: The Journey of Elaina,KADOKAWA Corporation,1/7th Scale,Scale Figure,"¥31,700",Painted plastic 1/7 scale complete product with stand included. Approximately 250mm in height.,miro,NIKKEN,//images.goodsmile.info/cgm/images/product/20230424/14306/114685/large/ad38a3c0478010c3dc36ca3e53d78418.jpg,//images.goodsmile.info/cgm/images/product/20230424/14306/114686/large/14c5f592921b0ae5d3d2f56f479b8342.jpg,//images.goodsmile.info/cgm/images/product/20230424/14306/114687/large/d291a3759dab0e929840b3d36d273ecd.jpg,//images.goodsmile.info/cgm/images/product/20230424/14306/114677/large/c35c50b467a370ba01a42ee82d81bdaa.jpg
SSR-FIGURE Yi Ren Guan - House of Unhumans Qiao Er + Jin Hua Bunny Ver. Combinatorial,From Infinity Studio's SSR FIGURE brand comes the original figure series Yi Ren Guan - House of Unhumans!,Yi Ren Guan - House of Unhumans,Infinity Studio,1/7th Scale,Scale Figure,"¥27,060","Painted plastic 1/7 scale complete product with stand included. Approximately 205mm (Qiao Er Bunny Ver.), approximately 230mm (Jin Hua Bunny Ver.) in height.",Chen Ruixin,Zhao Haisen,//images.goodsmile.info/cgm/images/product/20231010/15066/122040/large/7a6fb9359734413510fd771308f7c9cd.jpg,//images.goodsmile.info/cgm/images/product/20231010/15066/122041/large/d4fbb05784e780730dcd14d9c76fb1e1.jpg,//images.goodsmile.info/cgm/images/product/20231010/15066/122042/large/41a903a33eda027204fa0fbcfcaf2d5a.jpg,//images.goodsmile.info/cgm/images/product/20231010/15066/122043/large/3bad1f436dbba396ee8d054e416fbcf7.jpg
Racing Miku 2022: Tropical Ver.,"The official character of the 2022 Hatsune Miku GT Project, Racing Miku 2022 Tropical Ver., is now a 1/7 scale figure! The original 2022 Racing Miku illustration by neco has been carefully brought to life in eye-popping detail. The suntan-outlined logo marks on her legs and arms have been faithfully captured in figure form. Don’t miss the detailed expression of her suntanned skin and delicate sculpting of her twintail hair! Be sure to add this figure of Miku with a tropical look to your collection!",Hatsune Miku GT Project,Max Factory,1/7th Scale,Scale Figure,"¥22,900",Painted plastic 1/7 scale complete product with stand included. Approximately 230mm in height.,ko_nen (modeloft),"Art Spirits Co., Ltd.",//images.goodsmile.info/cgm/images/product/20230622/14548/117113/large/ff7085da5ecdb5a76f2977a272172220.jpg,//images.goodsmile.info/cgm/images/product/20230622/14548/117114/large/83d20ed182ad67b3e00d65e7fa316c89.jpg,//images.goodsmile.info/cgm/images/product/20230622/14548/117115/large/d235c5752de00aba292b3adba7444051.jpg,//images.goodsmile.info/cgm/images/product/20230622/14548/117116/large/1fb75a06d44d2b37143fb14f362f5585.jpg
Mikoto Misaka: Hoodie☆Look Gekota ver.,"From the popular anime series ""A Certain Scientific Railgun T"" comes a figure of one of the heroines, Mikoto Misaka, wearing a poncho with a design inspired by Gekota!",A Certain Scientific Railgun T,KADOKAWA Corporation,1/7th Scale,Scale Figure,"¥21,450",Painted plastic 1/7 scale complete product with stand included. Approximately 160mm in height.,Nagano Kenmin (Nagano Koubou),Nikken Corporation,//images.goodsmile.info/cgm/images/product/20230830/14896/120429/large/e61a759f8a6f98719da28b24c9417348.jpg,//images.goodsmile.info/cgm/images/product/20230830/14896/120430/large/e90839d57946dacc397597a4f5cad4f7.jpg,//images.goodsmile.info/cgm/images/product/20230830/14896/120431/large/13b2d3817dfa2e91f0d6f3ae38b6a1a7.jpg,//images.goodsmile.info/cgm/images/product/20230830/14896/120432/large/e918392f813a6a53db58932d1f210f13.jpg
Yumi: Bare Leg Bunny Ver.,"From ""Shinobi Master Senran Kagura: NEW LINK"" comes a new bare leg bunny figure of Yumi, the beautiful shinobi of Gessen Girls' Academy! This special version features Yumi's original bunny suit minus the net tights, showing off her bare legs instead. Display with the upcoming Yozakura: Bare Leg Bunny Ver. for a splendid show right in your own collection!",Shinobi Master Senran Kagura: NEW LINK,FREEing,1/4th Scale,Scale Figure,"¥27,500",Painted plastic 1/4 scale complete product. Approximately 385mm in height.,Norimiki Ujikawa (Dragoncraft),Dragoncraft,//images.goodsmile.info/cgm/images/product/20230407/14233/114027/large/beb63ff9f202f29cd63139ff3baab6e0.jpg,//images.goodsmile.info/cgm/images/product/20230407/14233/114028/large/52e404f1880741f9ac88c40ed5d0f718.jpg,//images.goodsmile.info/cgm/images/product/20230407/14233/114029/large/e04a49656997cb10a7cd7430b9b56257.jpg,//images.goodsmile.info/cgm/images/product/20230407/14233/114030/large/e5395324e8e63d1e08d31653fa54ce37.jpg
NTW-20: Aristocrat Experience,"From ""Girls' Frontline"" comes NTW-20! Her apron dress from the Maid Internship skin theme has been faithfully captured in figure form. Originally a garage kit by sculptor Rico, the sculpt of the figure has been brushed up with Rico's cooperation.",Girls' Frontline,PONY CANYON,Other Scale,Scale Figure,"¥30,580",Painted plastic 1/6 scale complete product with stand included. Approximately 240mm in height (rifle stands at 280mm in height).,Rico,Rico,//images.goodsmile.info/cgm/images/product/20221116/13546/107224/large/002181968f6400b46a80562ed6961781.jpg,//images.goodsmile.info/cgm/images/product/20221116/13546/107225/large/d20b06d4449294aeb378e0987f076bc9.jpg,//images.goodsmile.info/cgm/images/product/20221116/13546/107226/large/8970b920dcfeefbdf132ef4457075fe1.jpg,//images.goodsmile.info/cgm/images/product/20221116/13546/107227/large/a9022558ac774930fe8c371281e744ed.jpg
Saber/Nero Claudius: Venus's Silk Ver.,"From the popular smartphone game ""Fate/Grand Order"" comes a 1/7 scale figure of Saber/Nero Claudius dressed in her ""Venus's Silk"" Spiritron Dress.",Fate/Grand Order,KADOKAWA Corporation,1/7th Scale,Scale Figure,"¥24,800","Painted plastic 1/7 scale complete product with stand included. Approximately 235mm in height (figure only, including cowlick)",YOKOSHIMA (Sculpting Cooperation: Sparrow),AliceGlint,//images.goodsmile.info/cgm/images/product/20230330/14193/113727/large/5f978b1069710198961658d40be93d54.jpg,//images.goodsmile.info/cgm/images/product/20230330/14193/113728/large/ff79c681562bba5e906506abe7907530.jpg,//images.goodsmile.info/cgm/images/product/20230330/14193/113729/large/dc8ad019390089cffdea9c6c06b153c4.jpg,//images.goodsmile.info/cgm/images/product/20230330/14193/113730/large/8089d1bf1dc93f664e6ca2bfce30771a.jpg
Mitsuri Kanroji,"From the anime series ""Demon Slayer: Kimetsu no Yaiba"" comes a 1/4 scale figure of the Love Hashira Mitsuri Kanroji! Details such as her lightfooted pose, carefully sculpted haori and distinct Nichirin Blade have all been faithfully captured. Mitsuri's exceptional physique and lovable smile have been carefully created in figure form as well.
Be sure to add this large-scale figure of Mitsuri Kanroji to your collection!",Demon Slayer: Kimetsu no Yaiba,FREEing,1/4th Scale,Scale Figure,"¥44,000",Painted plastic 1/4 scale complete product with stand included. Approximately 415mm in height.,Koji Nihashi,Dragoncraft,//images.goodsmile.info/cgm/images/product/20230809/14797/119429/large/3073b287a59df944c0ed12ae3990eb35.jpg,//images.goodsmile.info/cgm/images/product/20230809/14797/119420/large/e8bb955c684ec10dc84303597d3293f3.jpg,//images.goodsmile.info/cgm/images/product/20230809/14797/119421/large/7bf62d85616d3f4ea383eec4733bd7a2.jpg,//images.goodsmile.info/cgm/images/product/20230809/14797/119422/large/3d202281da8416fa9f3ff02d03dab42c.jpg
